hour,weekday,lot_id,lot_name,class_density,event,occupancy_pct
20,0,2,P_NORTH,4,0,0.2381
20,0,3,P_SOUTH,4,0,0.1309
20,0,4,P_WEST,4,0,0.2099
21,0,0,P_CENTRAL,0,0,0.1418
21,0,1,P_EAST,0,0,0.137
21,0,2,P_NORTH,0,0,0.1454
21,0,3,P_SOUTH,0,0,0.1683
21,0,4,P_WEST,0,0,0.1047
22,0,0,P_CENTRAL,0,0,0.038
22,0,1,P_EAST,0,0,0.069
22,0,2,P_NORTH,0,0,0.0788
22,0,3,P_SOUTH,0,0,0.1048
22,0,4,P_WEST,0,0,0.0888
23,0,0,P_CENTRAL,0,0,0.0616
23,0,1,P_EAST,0,0,0.0956
23,0,2,P_NORTH,0,0,0.0
23,0,3,P_SOUTH,0,0,0.0047
23,0,4,P_WEST,0,0,0.0
0,1,0,P_CENTRAL,0,0,0.0
0,1,1,P_EAST,0,0,0.057
0,1,2,P_NORTH,0,0,0.0269
0,1,3,P_SOUTH,0,0,0.0
0,1,4,P_WEST,0,0,0.0
1,1,0,P_CENTRAL,0,0,0.0566
1,1,1,P_EAST,0,0,0.068
1,1,2,P_NORTH,0,0,0.1189
1,1,3,P_SOUTH,0,0,0.1447
1,1,4,P_WEST,0,0,0.0475
2,1,0,P_CENTRAL,0,0,0.0148
2,1,1,P_EAST,0,0,0.0
2,1,2,P_NORTH,0,0,0.0589
2,1,3,P_SOUTH,0,0,0.0022
2,1,4,P_WEST,0,0,0.0215
3,1,0,P_CENTRAL,0,0,0.0548
3,1,1,P_EAST,0,0,0.0565
3,1,2,P_NORTH,0,0,0.113
3,1,3,P_SOUTH,0,0,0.057
3,1,4,P_WEST,0,0,0.0493
4,1,0,P_CENTRAL,0,0,0.0647
4,1,1,P_EAST,0,0,0.0837
4,1,2,P_NORTH,0,0,0.1146
4,1,3,P_SOUTH,0,0,0.1549
4,1,4,P_WEST,0,0,0.0975
5,1,0,P_CENTRAL,1,0,0.266
5,1,1,P_EAST,1,0,0.1576
5,1,2,P_NORTH,1,0,0.1535
5,1,3,P_SOUTH,1,0,0.1063
5,1,4,P_WEST,1,0,0.1299
6,1,0,P_CENTRAL,4,0,0.3414
6,1,1,P_EAST,4,0,0.3268
6,1,2,P_NORTH,4,0,0.2957
6,1,3,P_SOUTH,4,0,0.2765
6,1,4,P_WEST,4,0,0.2778
7,1,0,P_CENTRAL,6,0,0.5637
7,1,1,P_EAST,6,0,0.445
7,1,2,P_NORTH,6,0,0.4792
7,1,3,P_SOUTH,6,0,0.3822
7,1,4,P_WEST,6,0,0.3814
8,1,0,P_CENTRAL,8,0,0.7392
8,1,1,P_EAST,8,0,0.6261
8,1,2,P_NORTH,8,0,0.7639
8,1,3,P_SOUTH,8,0,0.5116
8,1,4,P_WEST,8,0,0.5493
9,1,0,P_CENTRAL,9,0,0.9814
9,1,1,P_EAST,9,0,0.8122
9,1,2,P_NORTH,9,0,0.8688
9,1,3,P_SOUTH,9,0,0.6036
9,1,4,P_WEST,9,0,0.7243
10,1,0,P_CENTRAL,10,0,1.0
10,1,1,P_EAST,10,0,0.7673
10,1,2,P_NORTH,10,0,0.811
10,1,3,P_SOUTH,10,0,0.5653
10,1,4,P_WEST,10,0,0.746
11,1,0,P_CENTRAL,8,0,1.0
11,1,1,P_EAST,8,0,0.7528
11,1,2,P_NORTH,8,0,0.8447
11,1,3,P_SOUTH,8,0,0.6785
11,1,4,P_WEST,8,0,0.6357
12,1,0,P_CENTRAL,8,0,0.9957
12,1,1,P_EAST,8,0,0.7442
12,1,2,P_NORTH,8,0,0.8598
12,1,3,P_SOUTH,8,0,0.6135
12,1,4,P_WEST,8,0,0.6935
13,1,0,P_CENTRAL,8,0,1.0
13,1,1,P_EAST,8,0,0.7636
13,1,2,P_NORTH,8,0,0.8858
13,1,3,P_SOUTH,8,0,0.538
13,1,4,P_WEST,8,0,0.6781
14,1,0,P_CENTRAL,10,0,0.9212
14,1,1,P_EAST,10,0,0.7249
14,1,2,P_NORTH,10,0,0.8466
14,1,3,P_SOUTH,10,0,0.6566
14,1,4,P_WEST,10,0,0.6269
15,1,0,P_CENTRAL,10,0,0.9712
15,1,1,P_EAST,10,0,0.7406
15,1,2,P_NORTH,10,0,0.8469
15,1,3,P_SOUTH,10,0,0.6601
15,1,4,P_WEST,10,0,0.7015
16,1,0,P_CENTRAL,6,0,0.7653
16,1,1,P_EAST,6,0,0.5767
16,1,2,P_NORTH,6,0,0.6751
16,1,3,P_SOUTH,6,0,0.5028
16,1,4,P_WEST,6,0,0.5479
17,1,0,P_CENTRAL,8,0,0.5384
17,1,1,P_EAST,8,0,0.4594
17,1,2,P_NORTH,8,0,0.5249
17,1,3,P_SOUTH,8,0,0.4725
17,1,4,P_WEST,8,0,0.4829
18,1,0,P_CENTRAL,2,0,0.4732
18,1,1,P_EAST,2,0,0.3212
18,1,2,P_NORTH,2,0,0.4061
18,1,3,P_SOUTH,2,0,0.3224
18,1,4,P_WEST,2,0,0.388
19,1,0,P_CENTRAL,5,0,0.3839
19,1,1,P_EAST,5,0,0.2975
19,1,2,P_NORTH,5,0,0.2804
19,1,3,P_SOUTH,5,0,0.2575
19,1,4,P_WEST,5,0,0.2471
20,1,0,P_CENTRAL,5,0,0.3838
20,1,1,P_EAST,5,0,0.2102
20,1,2,P_NORTH,5,0,0.2268
20,1,3,P_SOUTH,5,0,0.185
20,1,4,P_WEST,5,0,0.1367
21,1,0,P_CENTRAL,2,0,0.1043
21,1,1,P_EAST,2,0,0.2129
21,1,2,P_NORTH,2,0,0.093
21,1,3,P_SOUTH,2,0,0.0603
21,1,4,P_WEST,2,0,0.1877
22,1,0,P_CENTRAL,0,0,0.1952
22,1,1,P_EAST,0,0,0.015
22,1,2,P_NORTH,0,0,0.0553
22,1,3,P_SOUTH,0,0,0.0641
22,1,4,P_WEST,0,0,0.1245
23,1,0,P_CENTRAL,0,0,0.0079
23,1,1,P_EAST,0,0,0.0273
23,1,2,P_NORTH,0,0,0.0731
23,1,3,P_SOUTH,0,0,0.0476
23,1,4,P_WEST,0,0,0.0181
0,2,0,P_CENTRAL,0,0,0.0
0,2,1,P_EAST,0,0,0.0221
0,2,2,P_NORTH,0,0,0.0251
0,2,3,P_SOUTH,0,0,0.0351
0,2,4,P_WEST,0,0,0.0061
1,2,0,P_CENTRAL,0,0,0.0629
1,2,1,P_EAST,0,0,0.075
1,2,2,P_NORTH,0,0,0.0453
1,2,3,P_SOUTH,0,0,0.0422
1,2,4,P_WEST,0,0,0.033
2,2,0,P_CENTRAL,0,0,0.0544
2,2,1,P_EAST,0,0,0.0137
2,2,2,P_NORTH,0,0,0.0609
2,2,3,P_SOUTH,0,0,0.0309
2,2,4,P_WEST,0,0,0.1218
3,2,0,P_CENTRAL,0,0,0.1422
3,2,1,P_EAST,0,0,0.0776
3,2,2,P_NORTH,0,0,0.0398
3,2,3,P_SOUTH,0,0,0.0062
3,2,4,P_WEST,0,0,0.1032
4,2,0,P_CENTRAL,0,0,0.1509
4,2,1,P_EAST,0,0,0.0334
4,2,2,P_NORTH,0,0,0.1539
4,2,3,P_SOUTH,0,0,0.1024
4,2,4,P_WEST,0,0,0.0479
5,2,0,P_CENTRAL,0,0,0.2078
5,2,1,P_EAST,0,0,0.1881
5,2,2,P_NORTH,0,0,0.203
5,2,3,P_SOUTH,0,0,0.1332
5,2,4,P_WEST,0,0,0.1547
6,2,0,P_CENTRAL,5,0,0.3804
6,2,1,P_EAST,5,0,0.3521
6,2,2,P_NORTH,5,0,0.2291
6,2,3,P_SOUTH,5,0,0.2297
6,2,4,P_WEST,5,0,0.2694
7,2,0,P_CENTRAL,7,0,0.5818
7,2,1,P_EAST,7,0,0.4317
7,2,2,P_NORTH,7,0,0.4351
7,2,3,P_SOUTH,7,0,0.3774
7,2,4,P_WEST,7,0,0.4687
8,2,0,P_CENTRAL,9,0,0.8249
8,2,1,P_EAST,9,0,0.6061
8,2,2,P_NORTH,9,0,0.6982
8,2,3,P_SOUTH,9,0,0.463
8,2,4,P_WEST,9,0,0.5407
9,2,0,P_CENTRAL,9,0,1.0
9,2,1,P_EAST,9,0,0.7833
9,2,2,P_NORTH,9,0,0.9293
9,2,3,P_SOUTH,9,0,0.6671
9,2,4,P_WEST,9,0,0.6976
10,2,0,P_CENTRAL,10,0,0.9876
10,2,1,P_EAST,10,0,0.7931
10,2,2,P_NORTH,10,0,0.8481
10,2,3,P_SOUTH,10,0,0.6227
10,2,4,P_WEST,10,0,0.6521
11,2,0,P_CENTRAL,10,0,1.0
11,2,1,P_EAST,10,0,0.7129
11,2,2,P_NORTH,10,0,0.8913
11,2,3,P_SOUTH,10,0,0.6124
11,2,4,P_WEST,10,0,0.7268
12,2,0,P_CENTRAL,9,0,1.0
12,2,1,P_EAST,9,0,0.7892
12,2,2,P_NORTH,9,0,0.7971
12,2,3,P_SOUTH,9,0,0.6173
12,2,4,P_WEST,9,0,0.6331
13,2,0,P_CENTRAL,8,0,0.9493
13,2,1,P_EAST,8,0,0.8204
13,2,2,P_NORTH,8,0,0.8855
13,2,3,P_SOUTH,8,0,0.592
13,2,4,P_WEST,8,0,0.6395
14,2,0,P_CENTRAL,8,0,0.9213
14,2,1,P_EAST,8,0,0.7332
14,2,2,P_NORTH,8,0,0.8725
14,2,3,P_SOUTH,8,0,0.6662
14,2,4,P_WEST,8,0,0.7044
15,2,0,P_CENTRAL,8,0,0.8783
15,2,1,P_EAST,8,0,0.7722
15,2,2,P_NORTH,8,0,0.8629
15,2,3,P_SOUTH,8,0,0.6366
15,2,4,P_WEST,8,0,0.7446
16,2,0,P_CENTRAL,5,0,0.7479
16,2,1,P_EAST,5,0,0.6281
16,2,2,P_NORTH,5,0,0.6208
16,2,3,P_SOUTH,5,0,0.5522
16,2,4,P_WEST,5,0,0.5556
17,2,0,P_CENTRAL,7,0,0.6156
17,2,1,P_EAST,7,0,0.433
17,2,2,P_NORTH,7,0,0.5483
17,2,3,P_SOUTH,7,0,0.4146
17,2,4,P_WEST,7,0,0.4171
18,2,0,P_CENTRAL,5,0,0.4955
18,2,1,P_EAST,5,0,0.3452
18,2,2,P_NORTH,5,0,0.4238
18,2,3,P_SOUTH,5,0,0.3037
18,2,4,P_WEST,5,0,0.3551
19,2,0,P_CENTRAL,5,0,0.4531
19,2,1,P_EAST,5,0,0.2813
19,2,2,P_NORTH,5,0,0.3613
19,2,3,P_SOUTH,5,0,0.3233
19,2,4,P_WEST,5,0,0.2599
20,2,0,P_CENTRAL,5,0,0.3034
20,2,1,P_EAST,5,0,0.2652
20,2,2,P_NORTH,5,0,0.2623
20,2,3,P_SOUTH,5,0,0.2419
20,2,4,P_WEST,5,0,0.2413
21,2,0,P_CENTRAL,2,0,0.1967
21,2,1,P_EAST,2,0,0.1499
21,2,2,P_NORTH,2,0,0.2376
21,2,3,P_SOUTH,2,0,0.096
21,2,4,P_WEST,2,0,0.0341
22,2,0,P_CENTRAL,0,0,0.1431
22,2,1,P_EAST,0,0,0.0436
22,2,2,P_NORTH,0,0,0.0743
22,2,3,P_SOUTH,0,0,0.1028
22,2,4,P_WEST,0,0,0.0
23,2,0,P_CENTRAL,0,0,0.0
23,2,1,P_EAST,0,0,0.0
23,2,2,P_NORTH,0,0,0.0102
23,2,3,P_SOUTH,0,0,0.0478
23,2,4,P_WEST,0,0,0.0541
0,3,0,P_CENTRAL,0,0,0.0
0,3,1,P_EAST,0,0,0.0
0,3,2,P_NORTH,0,0,0.0379
0,3,3,P_SOUTH,0,0,0.0069
0,3,4,P_WEST,0,0,0.0466
1,3,0,P_CENTRAL,0,0,0.0719
1,3,1,P_EAST,0,0,0.0399
1,3,2,P_NORTH,0,0,0.0693
1,3,3,P_SOUTH,0,0,0.0372
1,3,4,P_WEST,0,0,0.0519
2,3,0,P_CENTRAL,0,0,0.0255
2,3,1,P_EAST,0,0,0.0349
2,3,2,P_NORTH,0,0,0.0555
2,3,3,P_SOUTH,0,0,0.0672
2,3,4,P_WEST,0,0,0.0219
3,3,0,P_CENTRAL,0,0,0.0985
3,3,1,P_EAST,0,0,0.0502
3,3,2,P_NORTH,0,0,0.0642
3,3,3,P_SOUTH,0,0,0.0828
3,3,4,P_WEST,0,0,0.0
4,3,0,P_CENTRAL,2,0,0.0687
4,3,1,P_EAST,2,0,0.0069
4,3,2,P_NORTH,2,0,0.0863
4,3,3,P_SOUTH,2,0,0.1118
4,3,4,P_WEST,2,0,0.0783
5,3,0,P_CENTRAL,2,0,0.227
5,3,1,P_EAST,2,0,0.2153
5,3,2,P_NORTH,2,0,0.2474
5,3,3,P_SOUTH,2,0,0.1373
5,3,4,P_WEST,2,0,0.2078
6,3,0,P_CENTRAL,4,0,0.3273
6,3,1,P_EAST,4,0,0.2589
6,3,2,P_NORTH,4,0,0.2607
6,3,3,P_SOUTH,4,0,0.1951
6,3,4,P_WEST,4,0,0.2386
7,3,0,P_CENTRAL,7,0,0.5809
7,3,1,P_EAST,7,0,0.4988
7,3,2,P_NORTH,7,0,0.4312
7,3,3,P_SOUTH,7,0,0.3665
7,3,4,P_WEST,7,0,0.3431
8,3,0,P_CENTRAL,5,0,0.755
8,3,1,P_EAST,5,0,0.5224
8,3,2,P_NORTH,5,0,0.7112
8,3,3,P_SOUTH,5,0,0.4617
8,3,4,P_WEST,5,0,0.5116
9,3,0,P_CENTRAL,8,0,0.9195
9,3,1,P_EAST,8,0,0.7278
9,3,2,P_NORTH,8,0,0.8703
9,3,3,P_SOUTH,8,0,0.6075
9,3,4,P_WEST,8,0,0.6878
10,3,0,P_CENTRAL,9,0,1.0
10,3,1,P_EAST,9,0,0.7463
10,3,2,P_NORTH,9,0,0.8009
10,3,3,P_SOUTH,9,0,0.6627
10,3,4,P_WEST,9,0,0.6667
11,3,0,P_CENTRAL,8,0,1.0
11,3,1,P_EAST,8,0,0.7753
11,3,2,P_NORTH,8,0,0.8548
11,3,3,P_SOUTH,8,0,0.634
11,3,4,P_WEST,8,0,0.758
12,3,0,P_CENTRAL,8,0,0.9728
12,3,1,P_EAST,8,0,0.7664
12,3,2,P_NORTH,8,0,0.903
12,3,3,P_SOUTH,8,0,0.5862
12,3,4,P_WEST,8,0,0.6933
13,3,0,P_CENTRAL,8,0,0.969
13,3,1,P_EAST,8,0,0.7726
13,3,2,P_NORTH,8,0,0.8267
13,3,3,P_SOUTH,8,0,0.5564
13,3,4,P_WEST,8,0,0.5971
14,3,0,P_CENTRAL,9,0,0.9517
14,3,1,P_EAST,9,0,0.7483
14,3,2,P_NORTH,9,0,0.9375
14,3,3,P_SOUTH,9,0,0.6642
14,3,4,P_WEST,9,0,0.6415
15,3,0,P_CENTRAL,8,0,0.9839
15,3,1,P_EAST,8,0,0.7437
15,3,2,P_NORTH,8,0,0.8486
15,3,3,P_SOUTH,8,0,0.6274
15,3,4,P_WEST,8,0,0.7048
16,3,0,P_CENTRAL,5,0,0.7848
16,3,1,P_EAST,5,0,0.5358
16,3,2,P_NORTH,5,0,0.6583
16,3,3,P_SOUTH,5,0,0.5783
16,3,4,P_WEST,5,0,0.5292
17,3,0,P_CENTRAL,8,0,0.6174
17,3,1,P_EAST,8,0,0.4425
17,3,2,P_NORTH,8,0,0.5198
17,3,3,P_SOUTH,8,0,0.3557
17,3,4,P_WEST,8,0,0.3858
18,3,0,P_CENTRAL,3,0,0.4841
18,3,1,P_EAST,3,0,0.3317
18,3,2,P_NORTH,3,0,0.4405
18,3,3,P_SOUTH,3,0,0.3418
18,3,4,P_WEST,3,0,0.3419
19,3,0,P_CENTRAL,5,0,0.3867
19,3,1,P_EAST,5,0,0.3301
19,3,2,P_NORTH,5,0,0.3406
19,3,3,P_SOUTH,5,0,0.2919
19,3,4,P_WEST,5,0,0.2058
20,3,0,P_CENTRAL,2,0,0.2055
20,3,1,P_EAST,2,0,0.1636
20,3,2,P_NORTH,2,0,0.3073
20,3,3,P_SOUTH,2,0,0.218
20,3,4,P_WEST,2,0,0.1711
21,3,0,P_CENTRAL,0,0,0.0979
21,3,1,P_EAST,0,0,0.0052
21,3,2,P_NORTH,0,0,0.1184
21,3,3,P_SOUTH,0,0,0.1978
21,3,4,P_WEST,0,0,0.1282
22,3,0,P_CENTRAL,0,0,0.055
22,3,1,P_EAST,0,0,0.0792
22,3,2,P_NORTH,0,0,0.0061
22,3,3,P_SOUTH,0,0,0.0375
22,3,4,P_WEST,0,0,0.0582
23,3,0,P_CENTRAL,0,0,0.0435
23,3,1,P_EAST,0,0,0.0684
23,3,2,P_NORTH,0,0,0.0554
23,3,3,P_SOUTH,0,0,0.0568
23,3,4,P_WEST,0,0,0.0054
0,4,0,P_CENTRAL,0,0,0.1052
0,4,1,P_EAST,0,0,0.0
0,4,2,P_NORTH,0,0,0.0
0,4,3,P_SOUTH,0,0,0.0791
0,4,4,P_WEST,0,0,0.0204
1,4,0,P_CENTRAL,0,0,0.0993
1,4,1,P_EAST,0,0,0.0161
1,4,2,P_NORTH,0,0,0.0964
1,4,3,P_SOUTH,0,0,0.0328
1,4,4,P_WEST,0,0,0.0406
2,4,0,P_CENTRAL,0,0,0.1141
2,4,1,P_EAST,0,0,0.0259
2,4,2,P_NORTH,0,0,0.0081
2,4,3,P_SOUTH,0,0,0.015
2,4,4,P_WEST,0,0,0.0542
3,4,0,P_CENTRAL,0,0,0.0094
3,4,1,P_EAST,0,0,0.0819
3,4,2,P_NORTH,0,0,0.0423
3,4,3,P_SOUTH,0,0,0.0919
3,4,4,P_WEST,0,0,0.0
4,4,0,P_CENTRAL,0,0,0.0475
4,4,1,P_EAST,0,0,0.057
4,4,2,P_NORTH,0,0,0.1119
4,4,3,P_SOUTH,0,0,0.0663
4,4,4,P_WEST,0,0,0.0705
5,4,0,P_CENTRAL,0,0,0.1865
5,4,1,P_EAST,0,0,0.1592
5,4,2,P_NORTH,0,0,0.1306
5,4,3,P_SOUTH,0,0,0.1515
5,4,4,P_WEST,0,0,0.1617
6,4,0,P_CENTRAL,5,0,0.3361
6,4,1,P_EAST,5,0,0.2578
6,4,2,P_NORTH,5,0,0.3597
6,4,3,P_SOUTH,5,0,0.1971
6,4,4,P_WEST,5,0,0.2078
7,4,0,P_CENTRAL,5,0,0.4442
7,4,1,P_EAST,5,0,0.3304
7,4,2,P_NORTH,5,0,0.3708
7,4,3,P_SOUTH,5,0,0.2677
7,4,4,P_WEST,5,0,0.3297
8,4,0,P_CENTRAL,8,0,0.6571
8,4,1,P_EAST,8,0,0.4826
8,4,2,P_NORTH,8,0,0.6168
8,4,3,P_SOUTH,8,0,0.4483
8,4,4,P_WEST,8,0,0.4528
9,4,0,P_CENTRAL,10,0,0.8015
9,4,1,P_EAST,10,0,0.6704
9,4,2,P_NORTH,10,0,0.7413
9,4,3,P_SOUTH,10,0,0.4711
9,4,4,P_WEST,10,0,0.5775
10,4,0,P_CENTRAL,9,0,0.933
10,4,1,P_EAST,9,0,0.7668
10,4,2,P_NORTH,9,0,0.8009
10,4,3,P_SOUTH,9,0,0.6728
10,4,4,P_WEST,9,0,0.7292
11,4,0,P_CENTRAL,8,0,0.9599
11,4,1,P_EAST,8,0,0.7745
11,4,2,P_NORTH,8,0,0.7636
11,4,3,P_SOUTH,8,0,0.5737
11,4,4,P_WEST,8,0,0.6682
12,4,0,P_CENTRAL,9,0,0.9986
12,4,1,P_EAST,9,0,0.8399
12,4,2,P_NORTH,9,0,0.8129
12,4,3,P_SOUTH,9,0,0.5865
12,4,4,P_WEST,9,0,0.6894
13,4,0,P_CENTRAL,10,0,1.0
13,4,1,P_EAST,10,0,0.7111
13,4,2,P_NORTH,10,0,0.87
13,4,3,P_SOUTH,10,0,0.6929
13,4,4,P_WEST,10,0,0.6139
14,4,0,P_CENTRAL,8,0,0.9531
14,4,1,P_EAST,8,0,0.7392
14,4,2,P_NORTH,8,0,0.8925
14,4,3,P_SOUTH,8,0,0.6297
14,4,4,P_WEST,8,0,0.609
15,4,0,P_CENTRAL,8,0,0.8105
15,4,1,P_EAST,8,0,0.5958
15,4,2,P_NORTH,8,0,0.7513
15,4,3,P_SOUTH,8,0,0.4798
15,4,4,P_WEST,8,0,0.5283
16,4,0,P_CENTRAL,6,0,0.5934
16,4,1,P_EAST,6,0,0.4589
16,4,2,P_NORTH,6,0,0.4316
16,4,3,P_SOUTH,6,0,0.3813
16,4,4,P_WEST,6,0,0.3532
17,4,0,P_CENTRAL,5,0,0.4063
17,4,1,P_EAST,5,0,0.254
17,4,2,P_NORTH,5,0,0.3697
17,4,3,P_SOUTH,5,0,0.2214
17,4,4,P_WEST,5,0,0.2269
18,4,0,P_CENTRAL,3,0,0.317
18,4,1,P_EAST,3,0,0.2163
18,4,2,P_NORTH,3,0,0.3306
18,4,3,P_SOUTH,3,0,0.1788
18,4,4,P_WEST,3,0,0.2168
19,4,0,P_CENTRAL,2,0,0.2528
19,4,1,P_EAST,2,0,0.1648
19,4,2,P_NORTH,2,0,0.2334
19,4,3,P_SOUTH,2,0,0.1334
19,4,4,P_WEST,2,0,0.1532
20,4,0,P_CENTRAL,1,0,0.1178
20,4,1,P_EAST,1,0,0.0284
20,4,2,P_NORTH,1,0,0.2058
20,4,3,P_SOUTH,1,0,0.2039
20,4,4,P_WEST,1,0,0.0956
21,4,0,P_CENTRAL,0,0,0.0041
21,4,1,P_EAST,0,0,0.0515
21,4,2,P_NORTH,0,0,0.0609
21,4,3,P_SOUTH,0,0,0.0445
21,4,4,P_WEST,0,0,0.0127
22,4,0,P_CENTRAL,0,0,0.0605
22,4,1,P_EAST,0,0,0.0502
22,4,2,P_NORTH,0,0,0.0
22,4,3,P_SOUTH,0,0,0.0518
22,4,4,P_WEST,0,0,0.1083
23,4,0,P_CENTRAL,0,0,0.0279
23,4,1,P_EAST,0,0,0.003
23,4,2,P_NORTH,0,0,0.013
23,4,3,P_SOUTH,0,0,0.0381
23,4,4,P_WEST,0,0,0.0
0,5,0,P_CENTRAL,0,0,0.0378
0,5,1,P_EAST,0,0,0.0088
0,5,2,P_NORTH,0,0,0.1016
0,5,3,P_SOUTH,0,0,0.013
0,5,4,P_WEST,0,0,0.0886
1,5,0,P_CENTRAL,0,0,0.0
1,5,1,P_EAST,0,0,0.0501
1,5,2,P_NORTH,0,0,0.0429
1,5,3,P_SOUTH,0,0,0.0
1,5,4,P_WEST,0,0,0.0309
2,5,0,P_CENTRAL,0,0,0.0883
2,5,1,P_EAST,0,0,0.0182
2,5,2,P_NORTH,0,0,0.0
2,5,3,P_SOUTH,0,0,0.0247
2,5,4,P_WEST,0,0,0.0
3,5,0,P_CENTRAL,0,0,0.0368
3,5,1,P_EAST,0,0,0.0363
3,5,2,P_NORTH,0,0,0.0
3,5,3,P_SOUTH,0,0,0.0
3,5,4,P_WEST,0,0,0.0547
4,5,0,P_CENTRAL,0,0,0.0476
4,5,1,P_EAST,0,0,0.0
4,5,2,P_NORTH,0,0,0.0921
4,5,3,P_SOUTH,0,0,0.0547
4,5,4,P_WEST,0,0,0.0195
5,5,0,P_CENTRAL,0,0,0.0434
5,5,1,P_EAST,0,0,0.1087
5,5,2,P_NORTH,0,0,0.0991
5,5,3,P_SOUTH,0,0,0.1567
5,5,4,P_WEST,0,0,0.0841
6,5,0,P_CENTRAL,0,0,0.1495
